key,summary,category,full_name,alert_warn_detail,alert_error_detail,acceptable,targeted,alert_warn_detail_cs,alert_error_detail_cs,acceptable_cs,targeted_cs,evaluate_type,format_type,is_species_specific,include_cumulative,alert_warn_name,alert_error_name,help_description
filtered_bcs_transcriptome_union,TRUE,Cell Calling,Estimated Number of Cells,"Ideal > 100. This usually indicates poor cell handling, poor library quality, or poor sequencing quality. Application performance is likely to be affected.",alert_warn_detail,0,100,"Estimated number of cells is expected to be > 100. This usually indicates poor cell handling, poor library quality, or poor sequencing quality. Application performance is likely to be affected.",alert_warn_detail_cs,acceptable,targeted,gt,int,FALSE,,Low Number of Cells Detected,No Cells Detected,The number of barcodes associated with at least one cell.
multi_transcriptome_total_raw_reads_per_filtered_bc,TRUE,Sensitivity,Mean Reads per Cell,,,,,,,,,,int,FALSE,,,,The total number of sequenced reads divided by the number of barcodes associated with cell-containing partitions.
filtered_bcs_median_unique_genes_detected,TRUE,Sensitivity,Median Genes per Cell,,,,,,,,,,int,TRUE,,,,The median number of genes detected per cell-associated barcode. Detection is defined as the presence of at least 1 UMI count.
total_reads,TRUE,Sequencing,Number of Reads,,,,,,,,,,int,FALSE,,,,Total number of read pairs that were assigned to this library in demultiplexing.
good_bc_frac,TRUE,Sequencing,Valid Barcodes,Ideal > 75%. This may indicate a quality issue with the Illumina I7 read for Single Cell 3' v1 or the R1 read for Single Cell 3' v2/v3 and Single Cell 5'. Application performance may be affected.,alert_warn_detail,0.5,0.75,alert_warn_detail,alert_warn_detail,acceptable,targeted,gt,percentage,FALSE,,Low Fraction Valid Barcodes,alert_warn_name,Fraction of reads with barcodes that match the whitelist after barcode correction.
good_umi_frac,TRUE,Sequencing,Valid UMIs,Ideal > 75%. This may indicate a quality issue with the Illumina R2 read for Single Cell 3' v1 or the R1 read for Single Cell 3' v2/v3 and Single Cell 5'. Application performance may be affected.,alert_warn_detail,0.5,0.75,alert_warn_detail,alert_warn_detail,acceptable,targeted,gt,percentage,FALSE,,Low Fraction Valid UMIs,alert_warn_name,Fraction of reads with valid UMIs; i.e. UMI sequences that do not contain Ns and that are not homopolymers.
reads_per_cell,TRUE,Sequencing,Mean Reads per Cell,,,,,,,,,,int,FALSE,,,,The total number of sequenced reads divided by the number of barcodes associated with cell-containing partitions.
multi_cdna_pcr_dupe_reads_frac,TRUE,Sequencing,Sequencing Saturation,,,,,,,,,,percentage,FALSE,,,,"The fraction of reads originating from an already-observed UMI. This is a function of library complexity and sequencing depth. More specifically, this is the fraction of confidently mapped, valid cell-barcode, valid UMI reads that had a non-unique (cell-barcode, UMI, gene). This metric was called 'cDNA PCR Duplication' in versions of Cell Ranger prior to 1.2."
bc_bases_with_q30_frac,TRUE,Sequencing,Q30 Bases in Barcode,"Fraction of cell barcode bases (Illumina I7 Read for Single Cell 3' v1, R1 for Single Cell 3' v2/v3 and Single Cell 5') with Q-score >= 30 should be above 55%. A lower fraction might indicate poor sequencing quality.",alert_warn_detail,0.45,0.55,alert_warn_detail,alert_warn_detail,acceptable,targeted,gt,percentage,FALSE,,Fraction of cell barcode bases with Q-score >= 30 is low,alert_warn_name,"Fraction of cell barcode bases with Q-score >= 30, excluding very low quality/no-call (Q <= 2) bases from the denominator."
read_bases_with_q30_frac,TRUE,Sequencing,Q30 Bases in RNA Read,"Fraction of RNA read bases with Q-score >= 30 should be above 65%. A lower fraction might indicate poor sequencing quality. This is Read 1 for the Single Cell 3' v1 chemistry and Single Cell 5' paired end, Read 2 for the Single Cell 3' v2/v3 chemistry and Single Cell 5' R2-only)",alert_warn_detail,0.55,0.65,alert_warn_detail,alert_warn_detail,acceptable,targeted,gt,percentage,FALSE,,Fraction of RNA read bases with Q-score >= 30 is low,alert_warn_name,"Fraction of RNA read bases with Q-score >= 30, excluding very low quality/no-call (Q <= 2) bases from the denominator. This is Read 1 for the Single Cell 3' v1 chemistry and Single Cell 5' paired end, Read 2 for the Single Cell 3' v2/v3 chemistry and Single Cell 5' R2-only)."
read2_bases_with_q30_frac,TRUE,Sequencing,Q30 Bases in RNA Read 2,,,,,,,,,,percentage,FALSE,,,,"Fraction of RNA read 2 bases with Q-score >= 30, excluding very low quality/no-call (Q <= 2) bases from the denominator."
sample_index_bases_with_q30_frac,TRUE,Sequencing,Q30 Bases in Sample Index,"Fraction of sample index bases (Illumina I5 Read for Single Cell 3' v1, I7 for Single Cell 3' v2/v3 and Single Cell 5') with Q-score >= 30 should be above 80%. A lower fraction might indicate poor sequencing quality.",alert_warn_detail,0.7,0.8,alert_warn_detail,alert_warn_detail,acceptable,targeted,gt,percentage,FALSE,,Fraction of sample index bases with Q-score >= 30 is low,alert_warn_name,"Fraction of sample index bases with Q-score >= 30, excluding very low quality/no-call (Q <= 2) bases from the denominator."
umi_bases_with_q30_frac,TRUE,Sequencing,Q30 Bases in UMI,"Fraction of UMI bases (Illumina R2 Read for Single Cell 3' v1, R1 for Single Cell 3' v2/v3 and Single Cell 5') with Q-score >= 30 should be above 75%. A lower fraction might indicate poor sequencing quality.",alert_warn_detail,0.65,0.75,alert_warn_detail,alert_warn_detail,acceptable,targeted,gt,percentage,FALSE,,Fraction of UMI bases with Q-score >= 30 is low,alert_warn_name,"Fraction of UMI bases with Q-score >= 30, excluding very low quality/no-call (Q <= 2) bases from the denominator."
# ANTIBODY Cells,,,,,,,,,,,,,,,,,,
ANTIBODY_filtered_bcs_transcriptome_union,TRUE,Cell Calling,Estimated Number of Cells,"Ideal > 100. This usually indicates poor cell handling, poor library quality, or poor sequencing quality. Application performance is likely to be affected.",alert_warn_detail,0,100,"Estimated number of cells is expected to be > 100. This usually indicates poor cell handling, poor library quality, or poor sequencing quality. Application performance is likely to be affected.",alert_warn_detail_cs,acceptable,targeted,gt,int,FALSE,,Low Number of Cells Detected,No Cells Detected,The number of barcodes associated with at least one cell.
ANTIBODY_multi_transcriptome_total_raw_reads_per_filtered_bc,TRUE,Sensitivity,Mean Reads per Cell,,,,,,,,,,int,FALSE,,,,The total number of sequenced reads divided by the number of barcodes associated with cell-containing partitions.
# CRISPR sequencing,,,,,,,,,,,,,,,,,,
CRISPR_total_reads,TRUE,Sequencing,Number of Reads,,,,,,,,,,int,FALSE,,,,Total number of CRISPR library reads.
CRISPR_reads_per_cell,TRUE,Sequencing,Mean Reads per Cell,,,,,,,,,,int,FALSE,,,,The total number of sequenced CRISPR library reads divided by the number of barcodes associated with cell-containing partitions.
CRISPR_good_bc_frac,TRUE,Sequencing,Valid Barcodes,,,,,,,,,,percentage,FALSE,,,,Fraction of CRISPR library reads with a barcode found in or corrected to one that is found in the whitelist.
CRISPR_good_umi_frac,TRUE,Sequencing,Valid UMIs,,,,,,,,,,percentage,FALSE,,,,Fraction of CRISPR library reads with valid UMIs.
CRISPR_multi_cdna_pcr_dupe_reads_frac,TRUE,Sequencing,Sequencing Saturation,,,,,,,,,,percentage,FALSE,,,,"The fraction of CRISPR library reads originating from an already-observed UMI. This is a function of library complexity and sequencing depth. More specifically, this is the fraction of confidently mapped, valid cell-barcode, valid UMI reads that had a non-unique (cell-barcode, UMI, CRISPR feature barcode)."
CRISPR_bc_bases_with_q30_frac,TRUE,Sequencing,Q30 Bases in Barcode,,,,,,,,,,percentage,FALSE,,,,"Fraction of CRISPR library cell barcode bases with Q-score >= 30, excluding very low quality/no-call (Q <= 2) bases from the denominator."
CRISPR_read_bases_with_q30_frac,TRUE,Sequencing,Q30 Bases in CRISPR Read,,,,,,,,,,percentage,FALSE,,,,"Fraction of CRISPR library read bases with Q-score >= 30, excluding very low quality/no-call (Q <= 2) bases from the denominator. This is Read 2 for the Single Cell 3' v3 and Single Cell 5' chemistries."
CRISPR_read2_bases_with_q30_frac,TRUE,Sequencing,Q30 Bases in CRISPR Read 2,,,,,,,,,,percentage,FALSE,,,,"Fraction of CRISPR library read 2 bases with Q-score >= 30, excluding very low quality/no-call (Q <= 2) bases from the denominator."
CRISPR_sample_index_bases_with_q30_frac,TRUE,Sequencing,Q30 Bases in Sample Index,,,,,,,,,,percentage,FALSE,,,,"Fraction of CRISPR library sample index bases with Q-score >= 30, excluding very low quality/no-call (Q <= 2) bases from the denominator."
CRISPR_umi_bases_with_q30_frac,TRUE,Sequencing,Q30 Bases in UMI,,,,,,,,,,percentage,FALSE,,,,"Fraction of CRISPR library UMI bases with Q-score >= 30, excluding very low quality/no-call (Q <= 2) bases from the denominator."
# ANTIBODY sequencing,,,,,,,,,,,,,,,,,,
ANTIBODY_total_reads,TRUE,Sequencing,Number of Reads,,,,,,,,,,int,FALSE,,,,Total number of Antibody library reads.
ANTIBODY_reads_per_cell,TRUE,Sequencing,Mean Reads per Cell,,,,,,,,,,int,FALSE,,,,The total number of sequenced Antibody library reads divided by the number of barcodes associated with cell-containing partitions.
ANTIBODY_good_bc_frac,TRUE,Sequencing,Valid Barcodes,,,,,,,,,,percentage,FALSE,,,,Fraction of Antibody library reads with a barcode found in or corrected to one that is found in the whitelist.
ANTIBODY_good_umi_frac,TRUE,Sequencing,Valid UMIs,,,,,,,,,,percentage,FALSE,,,,Fraction of Antibody library reads with valid UMIs.
ANTIBODY_multi_cdna_pcr_dupe_reads_frac,TRUE,Sequencing,Sequencing Saturation,,,,,,,,,,percentage,FALSE,,,,"The fraction of Antibody library reads originating from an already-observed UMI. This is a function of library complexity and sequencing depth. More specifically, this is the fraction of confidently mapped, valid cell-barcode, valid UMI reads that had a non-unique (cell-barcode, UMI, CRISPR feature barcode)."
ANTIBODY_bc_bases_with_q30_frac,TRUE,Sequencing,Q30 Bases in Barcode,,,,,,,,,,percentage,FALSE,,,,"Fraction of Antibody library cell barcode bases with Q-score >= 30, excluding very low quality/no-call (Q <= 2) bases from the denominator."
ANTIBODY_read_bases_with_q30_frac,TRUE,Sequencing,Q30 Bases in Antibody Read,,,,,,,,,,percentage,FALSE,,,,"Fraction of Antibody library read bases with Q-score >= 30, excluding very low quality/no-call (Q <= 2) bases from the denominator. This is Read 2 for the Single Cell 3' v3 and Single Cell 5' chemistries."
ANTIBODY_read2_bases_with_q30_frac,TRUE,Sequencing,Q30 Bases in Antibody Read 2,,,,,,,,,,percentage,FALSE,,,,"Fraction of Antibody library read 2 bases with Q-score >= 30, excluding very low quality/no-call (Q <= 2) bases from the denominator."
ANTIBODY_sample_index_bases_with_q30_frac,TRUE,Sequencing,Q30 Bases in Sample Index,,,,,,,,,,percentage,FALSE,,,,"Fraction of Antibody library sample index bases with Q-score >= 30, excluding very low quality/no-call (Q <= 2) bases from the denominator."
ANTIBODY_umi_bases_with_q30_frac,TRUE,Sequencing,Q30 Bases in UMI,,,,,,,,,,percentage,FALSE,,,,"Fraction of Antibody library UMI bases with Q-score >= 30, excluding very low quality/no-call (Q <= 2) bases from the denominator."
# Custom sequencing,,,,,,,,,,,,,,,,,,
Custom_total_reads,TRUE,Sequencing,Number of Reads,,,,,,,,,,int,FALSE,,,,Total number of Custom library reads.
Custom_reads_per_cell,TRUE,Sequencing,Mean Reads per Cell,,,,,,,,,,int,FALSE,,,,The total number of sequenced Custom library reads divided by the number of barcodes associated with cell-containing partitions.
Custom_good_bc_frac,TRUE,Sequencing,Valid Barcodes,,,,,,,,,,percentage,FALSE,,,,Fraction of Custom library reads with a barcode found in or corrected to one that is found in the whitelist.
Custom_good_umi_frac,TRUE,Sequencing,Valid UMIs,,,,,,,,,,percentage,FALSE,,,,Fraction of Custom library reads with valid UMIs.
Custom_multi_cdna_pcr_dupe_reads_frac,TRUE,Sequencing,Sequencing Saturation,,,,,,,,,,percentage,FALSE,,,,"The fraction of Custom library reads originating from an already-observed UMI. This is a function of library complexity and sequencing depth. More specifically, this is the fraction of confidently mapped, valid cell-barcode, valid UMI reads that had a non-unique (cell-barcode, UMI, CRISPR feature barcode)."
Custom_bc_bases_with_q30_frac,TRUE,Sequencing,Q30 Bases in Barcode,,,,,,,,,,percentage,FALSE,,,,"Fraction of Custom library cell barcode bases with Q-score >= 30, excluding very low quality/no-call (Q <= 2) bases from the denominator."
Custom_read_bases_with_q30_frac,TRUE,Sequencing,Q30 Bases in Feature Read,,,,,,,,,,percentage,FALSE,,,,"Fraction of Custom library read bases with Q-score >= 30, excluding very low quality/no-call (Q <= 2) bases from the denominator. This is Read 2 for the Single Cell 3' v3 and Single Cell 5' chemistries."
Custom_read2_bases_with_q30_frac,TRUE,Sequencing,Q30 Bases in Feature Read 2,,,,,,,,,,percentage,FALSE,,,,"Fraction of Custom library read 2 bases with Q-score >= 30, excluding very low quality/no-call (Q <= 2) bases from the denominator."
Custom_sample_index_bases_with_q30_frac,TRUE,Sequencing,Q30 Bases in Sample Index,,,,,,,,,,percentage,FALSE,,,,"Fraction of Custom library sample index bases with Q-score >= 30, excluding very low quality/no-call (Q <= 2) bases from the denominator."
Custom_umi_bases_with_q30_frac,TRUE,Sequencing,Q30 Bases in UMI,,,,,,,,,,percentage,FALSE,,,,"Fraction of Custom library UMI bases with Q-score >= 30, excluding very low quality/no-call (Q <= 2) bases from the denominator."
genome_mapped_reads_frac,TRUE,Mapping,Reads Mapped to Genome,,,,,,,,,,percentage,TRUE,TRUE,,,Fraction of reads that mapped to the genome.
genome_conf_mapped_reads_frac,TRUE,Mapping,Reads Mapped Confidently to Genome,,,,,,,,,,percentage,TRUE,TRUE,,,"Fraction of reads that mapped uniquely to the genome. If a gene mapped to exonic loci from a single gene and also to non-exonic loci, it is considered uniquely mapped to one of the exonic loci."
intergenic_conf_mapped_reads_frac,TRUE,Mapping,Reads Mapped Confidently to Intergenic Regions,,,,,,,,,,percentage,TRUE,TRUE,,,Fraction of reads that mapped uniquely to an intergenic region of the genome.
intronic_conf_mapped_reads_frac,TRUE,Mapping,Reads Mapped Confidently to Intronic Regions,,,,,,,,,,percentage,TRUE,TRUE,,,Fraction of reads that mapped uniquely to an intronic region of the genome.
exonic_conf_mapped_reads_frac,TRUE,Mapping,Reads Mapped Confidently to Exonic Regions,,,,,,,,,,percentage,TRUE,TRUE,,,Fraction of reads that mapped uniquely to an exonic region of the genome.
transcriptome_conf_mapped_reads_frac,TRUE,Mapping,Reads Mapped Confidently to Transcriptome,"Ideal > 30%. This can indicate use of the wrong reference transcriptome, a reference transcriptome with overlapping genes, poor library quality, poor sequencing quality, or reads shorter than the recommended minimum. Application performance may be affected.",alert_warn_detail,0.2,0.3,alert_warn_detail,alert_warn_detail,acceptable,targeted,gt,percentage,TRUE,TRUE,Low Fraction Reads Confidently Mapped To Transcriptome,alert_warn_name,Fraction of reads that mapped to a unique gene in the transcriptome. The read must be consistent with annotated splice junctions. These reads are considered for UMI counting.
on_target_conf_mapped_reads_frac,TRUE,Mapping,Reads Mapped Confidently to On-Target Transcriptome,"Ideal > 30%. This can indicate use of the wrong reference transcriptome, a reference transcriptome with overlapping genes, poor library quality, poor sequencing quality, or reads shorter than the recommended minimum. Application performance may be affected.",alert_warn_detail,0.2,0.3,alert_warn_detail,alert_warn_detail,acceptable,targeted,gt,percentage,TRUE,TRUE,Low Fraction Reads Confidently Mapped To On-Target Transcriptome,alert_warn_name,Fraction of reads that mapped to a unique gene in the on-target transcriptome. The read must be consistent with annotated splice junctions. These reads are considered for on target UMI counting.
antisense_reads_frac,TRUE,Mapping,Reads Mapped Antisense to Gene,Ideal < 10%. This can indicate use of an unsupported chemistry type (e.g. using Single Cell V(D)J for gene counting). Application performance is likely to be affected.,alert_warn_detail,0.3,0.1,alert_warn_detail,alert_warn_detail,acceptable,targeted,lt,percentage,TRUE,TRUE,High Fraction of Reads Mapped Antisense to Genes,alert_warn_name,"Fraction of reads confidently mapped to the transcriptome, but on the opposite strand of their annotated gene. A read is counted as antisense if it has any alignments that are consistent with an exon of a transcript but antisense to it, and has no sense alignments."
filtered_bcs,TRUE,Cell Calling,Estimated Number of Cells,"Ideal > 100. This usually indicates poor cell handling, poor library quality, or poor sequencing quality. Application performance is likely to be affected.",alert_warn_detail,0,100,"Estimated number of cells is expected to be > 100.  This usually indicates poor cell handling, poor library quality, or poor sequencing quality. Application performance is likely to be affected.",alert_warn_detail_cs,acceptable,targeted,gt,int,TRUE,,Low Number of Cells Detected,alert_warn_name,The number of barcodes associated with at least one cell.
filtered_bcs_conf_mapped_barcoded_reads_cum_frac,TRUE,Cell Calling,Fraction Reads in Cells,"Ideal > 70%. Application performance may be affected. Many of the reads were not assigned to cell-associated barcodes. This could be caused by high levels of ambient RNA or by a significant population of cells with a low RNA content, which the algorithm did not call as cells. The latter case can be addressed by inspecting the data to determine the appropriate cell count and using --force-cells.",alert_warn_detail,0.5,0.7,alert_warn_detail,alert_warn_detail,acceptable,targeted,gt,percentage,TRUE,TRUE,Low Fraction Reads in Cells,alert_warn_name,"The fraction of valid-barcode, confidently-mapped-to-transcriptome reads with cell-associated barcodes."
filtered_bcs_total_unique_genes_detected,TRUE,Cell Calling,Total Genes Detected,,,,,,,,,,int,TRUE,,,,The number of genes with at least one UMI count in any cell.
filtered_bcs_median_counts,TRUE,Cell Calling,Median UMI Counts per Cell,,,,,,,,,,int,TRUE,,,,The median number of UMI counts per %s cell-associated barcode.
filtered_bcs_observed_all,TRUE,Cell Calling,GEMs with >0 Cell,,,,,,,,,,int,FALSE,,,,The number of barcodes associated with at least one cell.
filtered_bcs_inferred_multiplets,TRUE,Cell Calling,GEMs with >1 Cell,,,,,,,,,,int,FALSE,,,,The inferred number of barcodes that are associated with multiple cells.
filtered_bcs_inferred_multiplet_rate,TRUE,Cell Calling,Fraction GEMs with >1 Cell,,,,,,,,,,percentage,FALSE,,,,"The mean fraction of cell-associated barcodes estimated to be associated with more than one cell, calculated via bootstrap sampling and adjusting for the ratio of the two cell types."
filtered_bcs_inferred_multiplet_rate_lb,TRUE,Cell Calling,Fraction GEMs with >1 Cell (Lower Bound),,,,,,,,,,percentage,FALSE,,,,"The lower bound of the 95% confidence interval of the fraction of cell-associated barcodes estimated to be associated with more than one cell, calculated via bootstrap sampling and adjusting for the ratio of the two cell types."
filtered_bcs_inferred_multiplet_rate_ub,TRUE,Cell Calling,Fraction GEMs with >1 Cell (Upper Bound),,,,,,,,,,percentage,FALSE,,,,"The upper bound of the 95% confidence interval of the fraction of cell-associated barcodes estimated to be associated with more than one cell, calculated via bootstrap sampling and adjusting for the ratio of the two cell types."
multi_filtered_bcs_mean_count_purity,TRUE,Cell Calling,Mean UMI Count Purity,,,,,,,,,,percentage,FALSE,,,,"Among single-cell GEM barcodes, the total fraction of UMI counts coming from the transcriptome of the cell inferred to be in the GEM, as opposed to a transcriptome that should not be present in the cell."
# CRISPR Application,,,,,,,,,,,,,,,,,,
CRISPR_feature_bc_extracted_frac,TRUE,Feature Barcoding,Fraction Reads with Putative Protospacer Sequence,,,,,,,,,,percentage,,,,,Fraction of feature barcoding library reads from which a putative protospacer sequence could be extracted.
CRISPR_multi_transcriptome_conf_mapped_reads_frac,TRUE,Feature Barcoding,Fraction Guide Reads,,,,,,,,,,percentage,,,,,Fraction of CRISPR library reads with a recognized protospacer sequence.
CRISPR_frac_feature_reads_usable,TRUE,Feature Barcoding,Fraction Guide Reads Usable,,,,,,,,,,percentage,,,,,"Fraction of fCRISPR library reads with a recognized protospacer sequence, a valid UMI, and a cell-associated barcode."
CRISPR_feature_reads_usable_per_cell,TRUE,Feature Barcoding,Guide Reads Usable per Cell,,,,,,,,,,int,,,,,Number of CRISPR library guide reads usable divided by the number of cell-associated barcodes.
CRISPR_unrecognized_feature_bc_frac,TRUE,Feature Barcoding,Fraction Protospacer Not Recognized,,,,,,,,,,percentage,,,,,"Among all CRISPR library reads with a putative protospacer sequence, the fraction with a protospacer sequence that was not recognized."
CRISPR_feature_reads_in_cells,TRUE,Feature Barcoding,Guide Reads in Cells,,,,,,,,,,percentage,,,,,"Among CRISPR library reads with a recognized protospacer sequence, a valid UMI, and a valid barcode, the fraction associated with cell-containing partitions."
CRISPR_frac_cells_with_protospacer,TRUE,Feature Barcoding,Cells with 1 or more protospacers detected,,,,,,,,,,percentage,,,,,Cells with 1 or more protospacers detected.
CRISPR_frac_cells_with_multiple_protospacer,TRUE,Feature Barcoding,Cells with 2 or more protospacers detected,,,,,,,,,,percentage,,,,,Cells with 2 or more protospacers detected.
CRISPR_multi_filtered_bcs_median_counts,TRUE,Feature Barcoding,Median UMIs per Cell,,,,,,,,,,int,,,,,Median UMIs per Cell (summed over all recognized protospacers).
# ANTIBODY Application,,,,,,,,,,,,,,,,,,
ANTIBODY_multi_transcriptome_conf_mapped_reads_frac,TRUE,Feature Barcoding,Fraction Antibody Reads,,,,,,,,,,percentage,,,,,Fraction of Antibody library reads that contain a recognized antibody barcode.
ANTIBODY_frac_feature_reads_usable,TRUE,Feature Barcoding,Fraction Antibody Reads Usable,,,,,,,,,,percentage,,,,,"Fraction of Antibody library reads that contain a recognized antibody barcode, a valid UMI, and a cell-associated barcode."
ANTIBODY_feature_reads_usable_per_cell,TRUE,Feature Barcoding,Antibody Reads Usable per Cell,,,,,,,,,,int,,,,,Number of Antibody library reads usable divided by the number of cell-associated barcodes.
ANTIBODY_reads_lost_to_highly_corrected_GEMs,TRUE,Feature Barcoding,Fraction Reads in Barcodes with High UMI Counts,,,,,,,,,,percentage,,,,,Fraction of Antibody library reads that was lost after removing barcodes with unusually high UMI counts (possibly aggregates).
ANTIBODY_unrecognized_feature_bc_frac,TRUE,Feature Barcoding,Fraction Unrecognized Antibody,,,,,,,,,,percentage,,,,,"Among all Antibody library reads, the fraction with an unrecognizable antibody barcode."
ANTIBODY_feature_reads_in_cells,TRUE,Feature Barcoding,Antibody Reads in Cells,,,,,,,,,,percentage,,,,,"Among Antibody library reads with a recognized antibody barcode, a valid UMI, and a valid barcode, the fraction associated with cell-containing partitions."
ANTIBODY_multi_filtered_bcs_median_counts,TRUE,Feature Barcoding,Median UMIs per Cell (summed over all recognized antibody barcodes),,,,,,,,,,int,,,,,Median UMIs per Cell (summed over all recognized antibody barcodes).
# Custom Feature,,,,,,,,,,,,,,,,,,
Custom_multi_transcriptome_conf_mapped_reads_frac,TRUE,Feature Barcoding,Fraction Feature Reads,,,,,,,,,,percentage,,,,,Fraction of Custom library reads that contain a recognized feature barcode.
Custom_frac_feature_reads_usable,TRUE,Feature Barcoding,Fraction Feature Reads Usable,,,,,,,,,,percentage,,,,,"Fraction of Custom library reads that contain a recognized feature barcode, a valid UMI, and a cell-associated barcode."
Custom_feature_reads_usable_per_cell,TRUE,Feature Barcoding,Feature Reads Usable per Cell,,,,,,,,,,int,,,,,Number of Feature library reads usable divided by the number of cell-associated barcodes.
Custom_unrecognized_feature_bc_frac,TRUE,Feature Barcoding,Fraction Unrecognized Feature,,,,,,,,,,percentage,,,,,"Among all Feature library reads, the fraction with an unrecognizable antibody barcode."
Custom_feature_reads_in_cells,TRUE,Feature Barcoding,Feature Reads in Cells,,,,,,,,,,percentage,,,,,"Among Feature library reads with a recognized antibody barcode, a valid UMI, and a valid barcode, the fraction associated with cell-containing partitions."
Custom_multi_filtered_bcs_median_counts,TRUE,Feature Barcoding,Median UMIs per Cell (summed over all recognized feature barcodes),,,,,,,,,,int,,,,,Median UMIs per Cell (summed over all recognized feature barcodes).
# Aggregation,,,,,,,,,,,,,,,,,,
pre_normalization_total_reads,TRUE,Aggregation,Pre-Normalization Total Number of Reads,,,,,,,,,,int,,,,,Total number of read pairs that were assigned to these libraries in demultiplexing.
post_normalization_total_reads,TRUE,Aggregation,Post-Normalization Total Number of Reads,,,,,,,,,,int,,,,,Number of read pairs after normalizing for depth among multiple libraries.
frac_reads_kept,TRUE,Aggregation,Fraction of Reads Kept,,,,,,,,,,percentage,TRUE,,,,"The fraction of reads kept for this input sample, after normalizing depth across samples to reduce batch effects."
pre_normalization_raw_reads_per_filtered_bc,TRUE,Aggregation,Pre-Normalization Total Reads per Cell,,,,,,,,,,int,TRUE,,,,"The mean number of total sequencing reads per cell in this input sample, prior to depth normalization."
pre_normalization_cmb_reads_per_filtered_bc,TRUE,Aggregation,Pre-Normalization Confidently Mapped Barcoded Reads per Cell,,,,,,,,,,int,TRUE,,,,"The mean number of confidently-mapped-to-transcriptome, valid-barcode reads per cell in this input sample, prior to depth normalization."
lowest_frac_reads_kept,TRUE,Aggregation,Fraction of Reads Kept,Ideal > 50%. There may be large differences in sequencing depth across the input libraries. Application performance may be affected.,alert_warn_detail,0.25,0.5,alert_warn_detail,alert_warn_detail,acceptable,targeted,gt,percentage,FALSE,,Low Post-Normalization Read Depth,alert_warn_name,"The fraction of reads kept for this input sample, after normalizing depth across samples to reduce batch effects."
pre_normalization_multi_transcriptome_total_raw_reads_per_filtered_bc,TRUE,Aggregation,Pre-Normalization Mean Reads per Cell,,,,,,,,,,int,,,,,"The total number of sequenced reads divided by the number of barcodes associated with cell-containing partitions."
post_normalization_multi_transcriptome_total_raw_reads_per_filtered_bc,TRUE,Aggregation,Post-Normalization Mean Reads per Cell,,,,,,,,,,int,,,,,"The total number of (depth-normalized) reads divided by the number of barcodes associated with cell-containing partitions."
CRISPR_frac_reads_kept,TRUE,Aggregation,Fraction of Reads Kept,,,,,,,,,,percentage,TRUE,,,,"The fraction of reads kept for this input sample, after normalizing depth across samples to reduce batch effects."
CRISPR_pre_normalization_raw_reads_per_filtered_bc,TRUE,Aggregation,Pre-Normalization Total Reads per Cell,,,,,,,,,,int,TRUE,,,,"The mean number of total sequencing reads per cell in this input sample, prior to depth normalization."
CRISPR_pre_normalization_cmb_reads_per_filtered_bc,TRUE,Aggregation,Pre-Normalization Confidently Mapped Barcoded Reads per Cell,,,,,,,,,,int,TRUE,,,,"The mean number of confidently-mapped-to-transcriptome, valid-barcode reads per cell in this input sample, prior to depth normalization."
ANTIBODY_frac_reads_kept,TRUE,Aggregation,Fraction of Reads Kept,,,,,,,,,,percentage,TRUE,,,,"The fraction of reads kept for this input sample, after normalizing depth across samples to reduce batch effects."
ANTIBODY_pre_normalization_raw_reads_per_filtered_bc,TRUE,Aggregation,Pre-Normalization Total Reads per Cell,,,,,,,,,,int,TRUE,,,,"The mean number of total sequencing reads per cell in this input sample, prior to depth normalization."
ANTIBODY_pre_normalization_cmb_reads_per_filtered_bc,TRUE,Aggregation,Pre-Normalization Confidently Mapped Barcoded Reads per Cell,,,,,,,,,,int,TRUE,,,,"The mean number of confidently-mapped-to-transcriptome, valid-barcode reads per cell in this input sample, prior to depth normalization."
Custom_frac_reads_kept,TRUE,Aggregation,Fraction of Reads Kept,,,,,,,,,,percentage,TRUE,,,,"The fraction of reads kept for this input sample, after normalizing depth across samples to reduce batch effects."
Custom_pre_normalization_raw_reads_per_filtered_bc,TRUE,Aggregation,Pre-Normalization Total Reads per Cell,,,,,,,,,,int,TRUE,,,,"The mean number of total sequencing reads per cell in this input sample, prior to depth normalization."
Custom_pre_normalization_cmb_reads_per_filtered_bc,TRUE,Aggregation,Pre-Normalization Confidently Mapped Barcoded Reads per Cell,,,,,,,,,,int,TRUE,,,,"The mean number of confidently-mapped-to-transcriptome, valid-barcode reads per cell in this input sample, prior to depth normalization."
# Batch Normalization,,,,,,,,,,,,,,,,,,
batch_effect_score_before_correction,TRUE,Batch Correction,Batch Effect Score before Correction,,,,,,,,,,float,,,,,"Before chemistry batch correction, the average fraction of 100 nearest neighbors belonging to the same batch, normalized by the expected value without batch effect."
batch_effect_score_after_correction,TRUE,Batch Correction,Batch Effect Score after Correction,,,,,,,,,,float,,,,,"After chemistry batch correction, the average fraction of 100 nearest neighbors belonging to the same batch, normalized by the expected value without batch effect.'"
